employee_id,role,skill_level,gender,age_group,job_level,company_scope,work_location,remote_policy,remote_access_score,remote_flexibility_score,compensation_satisfaction,career_growth_score,work_life_balance_score,sense_of_belonging_score,team_cohesion_score,values_alignment_score,engagement_score,manager_support_score,communication_effectiveness,participates_in_team_events,uses_collab_tools_frequently,stress_level_score,family_life_impact_score,daily_work_hours,weekly_work_hours,overtime_hours_weekly,commute_time_minutes,promotion_received,salary_increase_received,tenure_years,tenure_level,intention_to_leave,actual_turnover,joined_remote_company,current_monthly_salary_eur,expected_monthly_salary_eur,international_offer_salary_eur,salary_gap_eur,salary_gap_percent,benefits_satisfaction_score,health_benefits_score,pension_benefits_score,bonus_satisfaction_score,training_budget_satisfaction,perceived_international_pay_advantage,long_term_stay_intention_score
EMP032,Project Manager,Mid,Male,20-29,Mid,International,Lithuania,Full Remote,5.0,4.5,3.9,3.7,4.4,2.9,3.3,3.0,4.4,3.8,4.1,Yes,Yes,2.6,4.5,7.5,37.6,0.0,4.0,No,Yes,5.3,4-6 years,No,Stayed,No,3374.44,3961.85,3829.53,455.09,13.5,3.7,4.4,4.5,3.9,4.4,4.9,5.0
EMP033,Project Manager,Senior,Male,40-49,Manager,International,Lithuania,Full Remote,4.6,5.0,3.7,4.2,4.9,3.5,1.6,4.0,3.8,3.7,3.8,No,No,2.9,4.7,8.2,41.2,1.2,0.0,Yes,Yes,2.5,1-3 years,No,Stayed,No,6146.13,6825.91,5315.42,-830.72,-13.5,3.8,3.6,4.5,4.3,4.0,3.4,5.0
EMP034,Research Specialist,Senior,Male,40-49,Manager,Local,Lithuania,Mostly On-site,1.4,1.8,4.1,3.1,2.4,2.8,3.6,3.0,3.5,3.4,3.5,No,No,4.2,2.1,8.6,43.0,3.0,42.0,No,Yes,3.3,1-3 years,No,Left,No,4788.95,6409.82,8036.41,3247.46,67.8,4.2,3.8,3.3,2.1,2.7,5.0,4.9
EMP035,Energy Analyst,Senior,Male,30-39,Mid,International,Lithuania,Mostly On-site,1.7,1.4,3.9,2.2,1.2,2.9,2.5,3.2,3.8,3.6,3.5,Yes,Yes,3.6,1.6,8.7,43.6,3.6,40.0,No,No,3.6,1-3 years,No,Left,Yes,3159.9,3805.3,3561.79,401.89,12.7,3.9,4.0,4.0,5.0,4.8,3.4,5.0
EMP036,Research Specialist,Mid,Female,20-29,Mid,Local,Lithuania,Mostly On-site,2.7,2.2,4.8,2.9,2.0,2.7,3.7,3.2,4.1,4.7,2.9,Yes,No,3.9,2.2,11.0,55.0,15.0,40.0,Yes,Yes,3.5,1-3 years,No,Stayed,No,2711.65,2726.26,3772.36,1060.71,39.1,2.7,3.8,3.0,2.5,3.9,3.8,4.5
EMP037,Project Manager,Mid,Female,30-39,Senior,Local,Lithuania,Hybrid,3.0,3.6,2.6,2.2,2.5,3.1,4.2,3.7,4.0,4.9,2.3,Yes,No,3.7,2.7,8.1,40.3,0.3,9.0,No,No,4.6,4-6 years,No,Stayed,No,4845.84,5156.29,5851.46,1005.62,20.8,2.9,3.5,4.4,2.3,2.6,4.9,4.6
EMP038,Energy Analyst,Mid,Female,30-39,Senior,International,Lithuania,Full Remote,4.1,4.7,3.5,2.8,3.0,2.9,4.0,3.1,3.1,3.2,4.3,No,Yes,3.7,3.4,8.9,44.4,4.4,6.0,No,Yes,4.6,4-6 years,No,Stayed,No,3915.1,4462.03,4537.32,622.22,15.9,3.6,3.1,4.3,4.8,3.4,4.6,5.0
EMP039,Energy Analyst,Mid,Male,50+,Junior,Local,Lithuania,Hybrid,3.3,3.7,4.5,3.3,3.6,4.2,3.5,4.2,2.9,2.4,2.6,Yes,Yes,2.4,3.1,8.5,42.5,2.5,18.0,No,Yes,5.4,4-6 years,No,Stayed,No,1778.89,2052.64,2867.14,1088.25,61.2,3.2,3.2,3.8,2.3,3.7,4.6,4.4
EMP040,Research Specialist,Mid,Female,20-29,Mid,Local,Lithuania,Hybrid,2.9,4.8,3.0,3.1,4.2,3.2,4.0,4.3,3.2,3.6,4.3,Yes,Yes,2.7,4.5,7.5,37.3,0.0,36.0,No,No,3.1,1-3 years,No,Stayed,No,3120.35,3611.94,5011.44,1891.09,60.6,3.1,4.1,4.6,4.0,4.3,4.7,3.1
EMP041,Engineer,Mid,Female,40-49,Junior,International,Lithuania,Full Remote,4.9,4.0,1.0,2.5,5.0,2.0,1.3,3.9,4.1,3.7,3.8,Yes,Yes,1.4,3.5,8.6,42.8,2.8,4.0,No,No,4.1,4-6 years,No,Stayed,No,1859.19,2057.04,2209.62,350.43,18.8,4.5,3.8,4.3,3.5,4.7,3.8,4.4
EMP042,Research Specialist,Expert,Male,30-39,Mid,International,Outside Lithuania,Hybrid,3.2,4.3,2.4,1.3,3.3,3.7,3.3,3.6,3.5,3.3,3.1,No,Yes,2.6,4.1,8.3,41.5,1.5,44.0,Yes,Yes,3.9,1-3 years,No,Stayed,No,2905.22,3008.72,3491.74,586.52,20.2,4.4,4.2,4.4,4.1,3.9,4.0,4.3
EMP043,Engineer,Mid,Male,40-49,Junior,International,Lithuania,Full Remote,4.4,4.3,4.1,2.6,3.5,4.8,2.1,2.9,3.6,3.3,3.5,Yes,Yes,2.6,3.0,9.3,46.3,6.3,5.0,No,Yes,4.9,4-6 years,No,Stayed,No,1883.96,2186.74,2285.13,401.17,21.3,4.1,3.0,4.6,3.6,3.8,3.8,5.0
EMP044,Research Specialist,Senior,Male,30-39,Junior,Local,Lithuania,Mostly On-site,1.8,1.9,2.9,3.9,2.0,3.5,4.0,2.4,3.6,2.7,3.7,No,No,4.2,2.8,10.0,50.2,10.2,55.0,No,No,0.3,<1 year,No,Stayed,No,1481.52,1544.82,1953.53,472.01,31.9,2.6,3.0,3.4,2.5,1.4,4.7,4.2
EMP045,Engineer,Senior,Male,40-49,Junior,International,Lithuania,Full Remote,4.8,4.2,4.2,2.6,4.5,3.3,4.2,3.3,2.9,3.1,3.6,No,Yes,1.2,4.4,8.6,43.1,3.1,6.0,No,No,1.4,1-3 years,No,Stayed,No,1960.14,2359.3,1974.94,14.8,0.8,5.0,4.6,5.0,3.1,4.1,4.2,5.0
EMP046,Research Specialist,Expert,Male,40-49,Manager,Local,Outside Lithuania,Hybrid,3.9,3.9,2.9,3.9,4.2,3.3,4.1,3.1,3.7,3.1,4.2,Yes,Yes,2.8,3.8,6.1,30.7,0.0,33.0,Yes,Yes,3.1,1-3 years,No,Stayed,No,5935.08,7033.93,8768.65,2833.57,47.7,2.7,3.7,4.1,3.5,4.0,4.7,4.7
EMP047,Energy Analyst,Senior,Male,40-49,Junior,Local,Lithuania,Hybrid,3.1,4.2,3.1,3.8,4.3,4.1,3.7,2.7,3.2,3.2,3.1,No,Yes,2.0,4.0,8.4,42.2,2.2,19.0,No,Yes,6.5,4-6 years,No,Stayed,No,1712.2,2320.41,2041.92,329.72,19.3,2.6,3.8,4.0,3.2,4.0,4.2,5.0
EMP048,Energy Analyst,Senior,Female,30-39,Mid,Local,Lithuania,Hybrid,3.1,3.2,4.2,2.8,2.9,4.2,3.6,4.3,3.6,3.4,4.3,No,Yes,2.2,3.7,8.2,41.1,1.1,36.0,No,Yes,3.8,1-3 years,No,Stayed,No,2777.98,2901.49,4714.93,1936.95,69.7,4.5,2.5,3.9,2.2,3.2,4.3,4.7
EMP049,Engineer,Senior,Female,30-39,Senior,Local,Lithuania,Hybrid,3.6,3.4,2.9,3.7,4.0,4.2,4.4,3.6,4.2,3.6,3.4,Yes,Yes,3.5,2.7,7.3,36.4,0.0,44.0,No,Yes,5.8,4-6 years,No,Stayed,No,5175.56,6212.37,7647.3,2471.74,47.8,3.4,4.4,3.7,2.4,3.2,4.2,4.6
EMP050,Project Manager,Senior,Female,40-49,Senior,International,Lithuania,Full Remote,4.4,4.3,3.4,3.8,3.8,3.5,3.6,1.6,2.8,3.2,3.5,Yes,Yes,1.0,4.3,8.6,42.8,2.8,10.0,No,No,5.1,4-6 years,No,Stayed,No,4427.15,5241.22,5294.36,867.2,19.6,4.3,4.1,3.7,3.4,3.9,3.3,4.7
EMP051,Energy Analyst,Expert,Male,30-39,Senior,Local,Lithuania,Mostly On-site,2.8,2.6,2.6,2.4,3.6,4.1,3.8,3.7,4.0,3.4,2.7,Yes,No,2.2,3.2,9.6,48.0,8.0,45.0,No,Yes,2.8,1-3 years,No,Stayed,No,3777.3,3365.37,5516.46,1739.16,46.0,3.2,3.5,4.6,2.0,3.2,3.8,3.8
EMP052,Project Manager,Expert,Female,40-49,Manager,International,Outside Lithuania,Mostly On-site,2.3,2.4,3.0,3.6,1.4,2.9,4.0,4.5,3.2,3.3,3.6,Yes,No,5.0,2.1,8.6,43.1,3.1,33.0,No,No,4.8,4-6 years,No,Stayed,No,5642.7,6909.03,6921.26,1278.57,22.7,3.7,4.1,5.0,3.7,4.0,3.2,4.4
EMP053,Project Manager,Senior,Other/Prefer not to say,30-39,Senior,Local,Lithuania,Mostly On-site,2.3,1.5,1.9,3.4,3.0,2.3,3.2,3.4,3.7,4.1,3.5,No,No,3.3,2.4,9.2,46.0,6.0,53.0,No,Yes,2.3,1-3 years,Yes,Stayed,No,4895.21,4941.35,7575.21,2680.0,54.7,2.7,2.8,4.0,1.6,3.1,4.1,2.9
EMP054,Engineer,Mid,Male,20-29,Junior,International,Lithuania,Mostly On-site,2.5,1.4,2.5,4.0,2.7,3.4,4.4,2.8,3.4,4.1,4.0,No,No,2.8,1.7,6.3,31.5,0.0,32.0,No,Yes,4.3,4-6 years,No,Left,Yes,2326.83,2808.13,2391.96,65.13,2.8,3.6,4.2,4.9,4.2,4.4,3.3,5.0
EMP055,Engineer,Senior,Female,20-29,Junior,International,Lithuania,Hybrid,3.4,3.1,4.2,4.3,2.1,3.7,2.7,2.2,3.8,3.2,3.8,No,Yes,3.3,3.5,8.2,40.8,0.8,33.0,No,Yes,5.5,4-6 years,No,Stayed,No,1992.81,2375.54,2973.94,981.13,49.2,4.2,5.0,2.4,4.8,4.1,2.3,4.6
EMP056,Project Manager,Senior,Male,40-49,Manager,Local,Lithuania,Mostly On-site,2.0,1.3,1.8,4.0,1.2,3.1,3.6,3.0,3.9,4.8,3.1,Yes,No,4.6,1.3,8.0,40.1,0.1,27.0,No,Yes,4.9,4-6 years,No,Stayed,No,6975.5,7668.11,10965.43,3989.94,57.2,2.3,3.8,4.6,2.5,2.8,4.0,2.2
EMP057,Research Specialist,Mid,Male,30-39,Senior,International,Lithuania,Full Remote,5.0,4.2,2.5,2.7,5.0,3.1,2.5,4.2,4.1,4.2,2.2,Yes,Yes,2.3,3.8,8.8,44.0,4.0,6.0,No,Yes,5.5,4-6 years,No,Stayed,No,5550.6,6772.47,6118.12,567.51,10.2,3.1,4.8,3.9,3.5,4.5,3.6,4.9
EMP058,Energy Analyst,Senior,Female,40-49,Manager,International,Lithuania,Full Remote,4.3,5.0,3.8,2.6,4.8,3.2,2.9,2.7,2.9,2.9,3.0,No,Yes,1.5,4.6,7.1,35.6,0.0,14.0,No,Yes,3.4,1-3 years,No,Stayed,No,4838.05,5984.26,5921.48,1083.43,22.4,4.3,4.3,3.8,4.4,4.4,2.8,5.0
EMP059,Research Specialist,Expert,Male,20-29,Senior,International,Lithuania,Full Remote,4.7,5.0,3.3,2.7,5.0,4.2,3.1,2.3,3.4,2.3,4.7,Yes,Yes,1.6,4.8,9.1,45.6,5.6,5.0,No,Yes,2.2,1-3 years,No,Stayed,No,4800.17,5470.22,5684.07,883.9,18.4,4.0,3.6,4.3,4.6,4.1,4.6,5.0
EMP060,Energy Analyst,Expert,Female,30-39,Senior,International,Lithuania,Hybrid,3.4,5.0,2.9,3.7,4.3,4.1,4.3,4.9,3.5,3.8,3.0,Yes,Yes,3.1,4.2,7.6,38.0,0.0,27.0,No,Yes,3.5,1-3 years,Yes,Stayed,No,4691.81,6534.15,6061.1,1369.28,29.2,3.3,4.1,3.4,3.0,4.1,3.5,4.9
EMP061,Project Manager,Senior,Male,20-29,Mid,Local,Lithuania,Hybrid,3.5,4.2,3.6,3.2,3.5,4.5,4.3,4.3,3.8,2.9,4.8,No,No,2.8,4.0,9.6,47.8,7.8,24.0,No,Yes,5.8,4-6 years,No,Stayed,No,3573.72,4482.94,5578.6,2004.88,56.1,3.0,4.5,3.3,3.2,2.7,3.9,5.0
EMP062,Research Specialist,Mid,Female,40-49,Mid,International,Lithuania,Full Remote,4.2,4.4,3.8,2.5,3.8,2.5,3.0,2.8,3.5,4.1,4.5,Yes,Yes,1.1,4.2,8.6,42.8,2.8,11.0,No,No,5.1,4-6 years,No,Stayed,No,3151.25,3650.36,3992.12,840.86,26.7,3.6,4.1,4.1,4.9,4.6,4.3,5.0
EMP063,Engineer,Mid,Female,30-39,Mid,International,Lithuania,Mostly On-site,3.1,1.0,4.6,2.0,2.5,4.3,3.9,3.8,3.9,3.8,4.7,Yes,Yes,3.0,1.9,8.8,44.2,4.2,32.0,No,No,3.8,1-3 years,No,Stayed,No,3049.81,3462.75,3825.5,775.68,25.4,5.0,5.0,4.6,4.4,4.3,2.6,5.0
EMP064,Project Manager,Senior,Female,30-39,Junior,Local,Lithuania,Hybrid,3.3,3.8,4.2,3.5,3.5,3.5,4.3,3.3,3.9,4.3,3.0,No,Yes,1.9,4.1,8.5,42.7,2.7,19.0,No,No,6.8,4-6 years,No,Stayed,No,2045.82,2625.79,2709.55,663.73,32.4,4.2,3.0,2.2,3.4,2.0,4.7,5.0
EMP065,Energy Analyst,Senior,Male,20-29,Senior,International,Lithuania,Full Remote,4.3,4.0,5.0,2.8,2.7,2.9,3.9,3.2,3.6,4.2,3.4,Yes,No,2.0,4.0,9.2,45.8,5.8,12.0,No,No,4.7,4-6 years,No,Stayed,No,4247.96,5155.91,4779.57,531.61,12.5,4.5,4.4,3.0,3.6,4.2,3.3,5.0
EMP066,Project Manager,Senior,Female,30-39,Mid,International,Lithuania,Hybrid,2.5,3.7,3.4,3.3,3.3,4.1,3.7,3.6,3.8,2.9,4.3,Yes,No,3.5,3.3,9.0,44.9,4.9,15.0,No,Yes,3.6,1-3 years,Yes,Stayed,No,3149.51,3077.11,3626.78,477.27,15.2,4.2,4.3,3.4,3.8,3.9,3.2,5.0
EMP067,Energy Analyst,Senior,Female,30-39,Executive,International,Lithuania,Full Remote,4.6,4.5,4.0,2.1,4.5,4.2,3.0,2.4,3.3,3.4,4.3,No,Yes,2.8,4.1,8.6,43.1,3.1,3.0,No,No,7.1,7+ years,No,Stayed,No,6037.65,8214.72,6940.58,902.93,15.0,4.4,3.1,3.9,3.2,4.2,3.5,5.0
EMP068,Energy Analyst,Senior,Female,20-29,Executive,Local,Lithuania,Mostly On-site,1.8,2.6,4.0,2.3,2.7,2.7,3.9,2.9,3.5,3.8,3.3,No,Yes,1.9,3.1,11.0,55.1,15.1,23.0,No,No,2.7,1-3 years,Yes,Left,Yes,6705.98,8060.59,8386.45,1680.47,25.1,2.8,4.2,3.6,2.2,3.3,4.6,4.0
